                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0977,                 5.5915,                 4.5296,                      0,                      0,                      0,                      0,                 6.6744,                 4.4537,                 4.0366,                 0.0793,                 0.0023,                 0.0023
                      1,                 4.3453,                 3.1709,                 3.3531,                      0,                      0,                      0,                      0,                 6.6559,                 4.4675,                 3.9932,               0.057669,               0.004669,               0.004669
                      2,                 3.4163,                 2.3732,                 2.3541,                      0,                      0,                      0,                      0,                 6.6601,                 4.5703,                 4.0274,               0.036006,              0.0070063,              0.0070063
                      3,                 3.1897,                 2.3604,                 2.0455,                      0,                      0,                      0,                      0,                  6.642,                 4.5579,                 3.9612,               0.014312,              0.0093119,              0.0093119
                      4,                 2.9874,                 2.3758,                 1.8441,                0.10461,                0.33601,                0.09921,                0.03212,                 2.7796,                 2.5901,                  1.825,               0.009736,               0.009736,               0.009736
                      5,                 2.9075,                 2.2048,                 1.8031,                0.14794,                0.37436,                0.13801,                0.04203,                 2.6841,                 4.9434,                 1.8078,               0.009736,               0.009736,               0.009736
                      6,                 2.7911,                 2.0519,                 1.7116,                0.17143,                0.40266,                0.17131,                0.05041,                 2.7427,                  2.311,                 1.8008,                0.00967,                0.00967,                0.00967
                      7,                 2.7081,                 1.9438,                 1.6594,                0.19628,                0.41326,                0.15955,                0.03429,                 3.0384,                 1.9944,                 2.0301,               0.009604,               0.009604,               0.009604
                      8,                 2.5863,                 1.8455,                 1.5939,                0.12622,                0.49519,                0.11792,                0.03612,                 2.6768,                 2.5872,                 1.7876,               0.009538,               0.009538,               0.009538
                      9,                 2.5206,                 1.8136,                 1.5642,                0.39802,                0.20113,                0.20217,                0.05969,                 2.4557,                 2.5502,                 1.5965,               0.009472,               0.009472,               0.009472
                     10,                 2.4086,                 1.8558,                 1.5244,                0.20124,                0.20679,                0.14195,                0.04244,                 2.6264,                 3.8136,                 1.6722,               0.009406,               0.009406,               0.009406
                     11,                 2.3885,                 1.7212,                 1.5475,                0.40003,                0.49492,                0.37893,                0.12788,                 2.2937,                 1.7712,                 1.5226,                0.00934,                0.00934,                0.00934
                     12,                  2.354,                   1.65,                 1.4821,                0.36045,                0.63417,                0.37542,                0.13423,                 2.2079,                 1.5595,                 1.4897,               0.009274,               0.009274,               0.009274
                     13,                 2.3093,                  1.591,                 1.4614,                  0.347,                 0.5573,                0.34699,                0.12144,                 2.2389,                 1.8724,                 1.5077,               0.009208,               0.009208,               0.009208
                     14,                 2.2363,                 1.5885,                 1.4534,                0.35387,                0.23197,                0.19989,                0.05799,                 2.6064,                 3.1147,                 1.6933,               0.009142,               0.009142,               0.009142
                     15,                 2.2192,                 1.5489,                 1.4223,                0.43011,                0.65423,                0.45854,                0.17843,                 2.0257,                 1.4699,                 1.4049,               0.009076,               0.009076,               0.009076
                     16,                 2.2327,                 1.5339,                 1.4371,                0.36915,                0.46423,                0.35546,                0.12807,                 2.2328,                 2.3591,                 1.4927,                0.00901,                0.00901,                0.00901
                     17,                 2.2069,                 1.4646,                 1.4133,                0.24351,                0.50764,                0.31845,                 0.0941,                 2.5211,                  1.742,                 1.6799,               0.008944,               0.008944,               0.008944
                     18,                 2.1705,                 1.4501,                 1.3997,                0.34111,                0.64171,                0.40363,                0.14388,                 2.2687,                 1.5355,                 1.5239,               0.008878,               0.008878,               0.008878
                     19,                 2.0983,                 1.4319,                 1.3732,                0.43271,                0.65199,                0.49013,                0.20099,                 1.9837,                 1.4537,                 1.3859,               0.008812,               0.008812,               0.008812
                     20,                 2.1013,                 1.4044,                 1.3589,                0.43014,                0.49784,                0.41998,                0.17326,                 1.9673,                 2.3323,                 1.3703,               0.008746,               0.008746,               0.008746
                     21,                 2.1175,                 1.3856,                 1.3545,                0.43897,                0.69567,                0.48738,                0.19945,                 1.9633,                 1.7221,                 1.3564,                0.00868,                0.00868,                0.00868
                     22,                 2.0907,                 1.3769,                 1.3499,                0.39556,                0.52521,                0.39062,                0.13291,                  2.307,                 1.7718,                 1.5091,               0.008614,               0.008614,               0.008614
                     23,                 2.0427,                 1.3796,                 1.3506,                0.41101,                0.53972,                0.43164,                0.15723,                 2.1438,                 2.1527,                 1.4716,               0.008548,               0.008548,               0.008548
                     24,                  2.003,                 1.3404,                 1.3365,                0.36133,                0.54603,                0.34754,                0.13099,                  2.391,                 1.8109,                 1.5883,               0.008482,               0.008482,               0.008482
                     25,                 2.0369,                 1.3557,                 1.3321,                0.38083,                0.42183,                0.34516,                0.11916,                  2.369,                 3.2169,                 1.5576,               0.008416,               0.008416,               0.008416
                     26,                 2.0138,                 1.3372,                 1.3501,                0.42272,                0.59394,                0.46944,                0.17552,                 2.1382,                 1.4095,                 1.4308,                0.00835,                0.00835,                0.00835
                     27,                 2.0135,                 1.3152,                  1.328,                0.43435,                0.63116,                0.50678,                0.20977,                 1.9927,                  1.358,                 1.3803,               0.008284,               0.008284,               0.008284
