                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.3246,                 5.2853,                 4.8075,                      0,                      0,                      0,                      0,                 5.2637,                   4.46,                 4.1595,                 0.0955,                 0.0005,                 0.0005
                      1,                 5.1419,                 5.1677,                 4.8034,                      0,                      0,                      0,                      0,                 5.2322,                 4.2836,                 4.1312,               0.090095,              0.0010946,              0.0010946
                      2,                 4.9269,                 4.6551,                  4.529,                      0,                      0,                      0,                      0,                 5.1523,                 4.2052,                 4.0725,               0.084683,              0.0016832,              0.0016832
                      3,                 4.4648,                 4.0905,                 4.2614,                      0,                      0,                      0,                      0,                 5.0709,                 4.1425,                 4.0132,               0.079266,              0.0022658,              0.0022658
                      4,                 3.8837,                 3.3714,                  3.875,                      0,                      0,                      0,                      0,                 4.9958,                 4.1536,                 3.9642,               0.073843,              0.0028426,              0.0028426
                      5,                 3.4744,                 2.8188,                 3.2944,                      0,                      0,                      0,                      0,                 4.9446,                 4.1714,                 3.9323,               0.068413,              0.0034134,              0.0034134
                      6,                  3.169,                 2.6324,                 3.0024,                      0,                      0,                      0,                      0,                 4.9178,                 4.2434,                 3.9146,               0.062978,              0.0039782,              0.0039782
                      7,                 2.9625,                 2.4777,                 2.8596,                      0,                      0,                      0,                      0,                 4.9055,                  4.322,                 3.9047,               0.057537,              0.0045371,              0.0045371
                      8,                 2.8028,                 2.3723,                 2.7016,                      0,                      0,                      0,                      0,                 4.9129,                 4.3617,                 3.9021,                0.05209,              0.0050901,              0.0050901
                      9,                 2.6159,                 2.1865,                 2.5177,                      0,                      0,                      0,                      0,                 4.9117,                 4.4291,                 3.8991,               0.046637,              0.0056372,              0.0056372
                     10,                 2.5334,                 2.0418,                 2.3935,                      0,                      0,                      0,                      0,                 4.9084,                 4.4266,                 3.8967,               0.041178,              0.0061782,              0.0061782
                     11,                 2.4722,                 1.9041,                 2.2952,                      0,                      0,                      0,                      0,                 4.9081,                 4.4073,                  3.895,               0.035713,              0.0067134,              0.0067134
                     12,                 2.2934,                 1.9031,                 2.2009,                      0,                      0,                      0,                      0,                 4.9008,                 4.4556,                 3.8903,               0.030243,              0.0072426,              0.0072426
                     13,                 2.2193,                 1.8446,                 2.1002,                      0,                      0,                      0,                      0,                 4.8967,                 4.4884,                 3.8852,               0.024766,              0.0077659,              0.0077659
                     14,                 2.1412,                 1.7618,                 2.0231,                      0,                      0,                      0,                      0,                 4.8561,                 4.4852,                 3.8654,               0.019283,              0.0082832,              0.0082832
                     15,                 2.0485,                 1.7172,                 1.9632,                0.00565,                 0.2189,                0.01882,                0.00449,                 4.1231,                 4.0352,                 3.6412,               0.013795,              0.0087946,              0.0087946
                     16,                 2.0158,                 1.6646,                 1.8858,                0.13365,                0.11075,                0.06061,                0.01631,                  3.548,                 3.4667,                 3.3263,               0.009208,               0.009208,               0.009208
                     17,                 1.9071,                 1.7328,                 1.8576,                0.34827,                0.29077,                0.19371,                0.06495,                 2.9546,                 2.8095,                  2.884,               0.009208,               0.009208,               0.009208
                     18,                 1.9074,                 1.6742,                 1.8556,                 0.3888,                0.40689,                0.32134,                0.11602,                  2.492,                 2.1837,                 2.5259,              0.0091585,              0.0091585,              0.0091585
                     19,                   1.96,                 1.5373,                 1.8648,                0.39817,                0.56742,                0.38585,                0.12991,                 2.2593,                 2.1879,                 2.3179,               0.009109,               0.009109,               0.009109
                     20,                 1.9103,                  1.526,                 1.8052,                0.51726,                0.71018,                0.52841,                0.18322,                 2.1397,                 3.7939,                  2.273,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.8928,                  1.551,                 1.7761,                0.41492,                0.30687,                0.21246,                0.05644,                 2.7181,                 3.0624,                 2.7449,                0.00901,                0.00901,                0.00901
                     22,                 1.8042,                 1.5096,                 1.7159,                0.55059,                0.84577,                0.62634,                0.28441,                 1.8307,                  2.873,                 2.0374,              0.0089605,              0.0089605,              0.0089605
                     23,                  1.822,                 1.4816,                 1.7165,                0.43767,                0.80649,                 0.5541,                0.23269,                 1.8856,                 9.8345,                  2.131,               0.008911,               0.008911,               0.008911
                     24,                 1.8441,                 1.4111,                 1.7159,                0.48344,                0.75395,                0.57202,                0.24149,                 1.8098,                 4.9236,                  2.116,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.8021,                 1.3933,                 1.6985,                0.51264,                0.91636,                0.65595,                0.29691,                  1.742,                 5.0547,                 2.0328,               0.008812,               0.008812,               0.008812
                     26,                 1.7647,                 1.3779,                 1.6648,                0.52178,                0.89955,                0.68622,                0.34099,                 1.6897,                 3.4567,                 1.9538,              0.0087625,              0.0087625,              0.0087625
